samplespec_1
Integration time [ms]:  20,000
Averaging Nr. [scans]: 2
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1907283U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 180,23;  299,500;  318,000;  305,000;-18,50000
 180,53;  331,000;  318,890;  344,000;12,11000
 180,83;  432,000;  429,780;  417,000; 2,22000
 181,13;  325,000;  344,160;  375,000;-19,16000
 181,43;  403,500;  397,410;  382,000; 6,09000
 181,73;  295,500;  296,140;  288,000;-0,64000
 182,04;  373,000;  401,630;  370,000;-28,63000
 182,34;  288,000;  303,040;  290,000;-15,04000
 182,64;  418,500;  419,680;  411,000;-1,18000
 182,94;  318,500;  310,630;  307,000; 7,87000
 183,24;  425,500;  404,070;  382,000;21,43000
 183,54;  321,000;  314,180;  313,000; 6,82000
 183,85;  411,500;  412,620;  411,000;-1,12000
 184,15;  338,000;  335,400;  365,000; 2,60000
 184,45;  410,000;  397,720;  381,000;12,28000
 184,75;  289,500;  283,310;  281,000; 6,19000
 185,05;  419,500;  423,420;  464,000;-3,92000
 185,35;  347,500;  317,970;  305,000;29,53000
 185,66;  387,500;  399,850;  432,000;-12,35000
 185,96;  343,500;  346,990;  368,000;-3,49000
 186,26;  403,500;  416,020;  406,000;-12,52000
 186,56;  335,500;  327,110;  326,000; 8,39000
 186,86;  435,500;  423,750;  428,000;11,75000
 187,16;  334,500;  340,660;  352,000;-6,16000
 187,46;  385,500;  406,850;  418,000;-21,35000
 187,77;  310,500;  311,740;  321,000;-1,24000
 188,07;  471,500;  459,960;  449,000;11,54000
 188,37;  301,500;  308,940;  310,000;-7,44000
 188,67;  429,000;  432,110;  442,000;-3,11000
 188,97;  334,500;  342,510;  331,000;-8,01000
 189,27;  359,000;  358,480;  392,000; 0,52000
 189,57;  290,500;  313,400;  318,000;-22,90000
 189,88;  430,500;  419,350;  403,000;11,15000
 190,18;  301,500;  324,760;  329,000;-23,26000
 190,48;  446,000;  424,910;  431,000;21,09000
 190,78;  280,500;  301,870;  284,000;-21,37000
 191,08;  444,000;  449,460;  455,000;-5,46000
 191,38;  313,000;  329,290;  325,000;-16,29000
 191,68;  396,500;  406,000;  434,000;-9,50000
