refspec
Integration time [ms]:  20,000
Averaging Nr. [scans]: 2
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7513481SP
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 165,39;  523,000;  524,820;  501,000;-1,82000
 165,69;  468,500;  472,860;  451,000;-4,36000
 165,99;  578,000;  562,140;  536,000;15,86000
 166,29;  489,500;  486,730;  488,000; 2,77000
 166,59;  541,500;  546,540;  558,000;-5,04000
 166,89;  501,000;  479,530;  466,000;21,47000
 167,19;  543,000;  554,660;  525,000;-11,66000
 167,49;  487,500;  485,660;  462,000; 1,84000
 167,80;  554,500;  530,600;  490,000;23,90000
 168,10;  478,500;  474,520;  461,000; 3,98000
 168,40;  531,000;  532,550;  509,000;-1,55000
 168,70;  483,000;  487,790;  488,000;-4,79000
 169,00;  524,500;  540,390;  521,000;-15,89000
 169,30;  496,000;  487,010;  495,000; 8,99000
 169,60;  518,000;  539,950;  542,000;-21,95000
 169,90;  462,000;  474,290;  472,000;-12,29000
 170,20;  523,500;  534,940;  554,000;-11,44000
 170,50;  472,000;  474,640;  464,000;-2,64000
 170,80;  499,000;  517,640;  507,000;-18,64000
 171,10;  453,000;  461,810;  471,000;-8,81000
 171,40;  521,500;  536,870;  536,000;-15,37000
 171,70;  470,500;  466,520;  465,000; 3,98000
 172,00;  528,500;  550,060;  546,000;-21,56000
 172,31;  505,500;  513,210;  489,000;-7,71000
 172,61;  557,000;  556,960;  523,000; 0,04000
 172,91;  487,500;  470,070;  446,000;17,43000
 173,21;  536,000;  535,840;  506,000; 0,16000
 173,51;  482,000;  494,570;  489,000;-12,57000
 173,81;  539,500;  551,130;  554,000;-11,63000
 174,11;  471,000;  489,040;  471,000;-18,04000
 174,41;  532,500;  544,590;  547,000;-12,09000
 174,71;  468,500;  462,440;  439,000; 6,06000
 175,01;  495,500;  515,590;  496,000;-20,09000
 175,31;  511,500;  510,690;  477,000; 0,81000
 175,61;  517,000;  545,790;  559,000;-28,79000
 175,91;  508,000;  502,600;  537,000; 5,40000
 176,21;  538,000;  554,140;  585,000;-16,14000
 176,51;  501,500;  492,800;  470,000; 8,70000
 176,81;  577,500;  566,730;  538,000;10,77000
