;sp260223_001 ch: 1907283U1;;sp260223_001 ch: 7513481SP;
Wavelength [nm];Intensity;Wavelength [nm];intensity;
180,2263;50,359985;165,3892;-14,52002;
180,5152;46,461907;165,6764;-17,002648;
180,8041;36,155257;165,9636;-18,884967;
181,0930;36,442576;166,2507;-14,814379;
181,3819;33,73618;166,5379;-14,58439;
181,6708;59,111905;166,8251;-14,145544;
181,9597;41,367235;167,1123;-12,392331;
182,2486;31,433001;167,3995;-13,661888;
182,5375;32,568424;167,6867;-12,614173;
182,8264;37,666761;167,9739;-13,811143;
183,1153;30,886857;168,2611;-18,102404;
183,4041;25,662127;168,5483;-19,017739;
183,6930;27,613044;168,8355;-19,125917;
183,9819;32,683303;169,1227;-17,032079;
184,2708;35,881965;169,4099;-13,106083;
184,5597;32,376751;169,6970;-15,196472;
184,8486;33,385725;169,9842;-14,57756;
185,1375;38,623164;170,2714;-15,130777;
185,4264;44,020322;170,5586;-16,248107;
185,7153;41,15107;170,8458;-10,506948;
186,0042;28,748973;171,1330;-13,197792;
186,2931;24,138661;171,4202;-14,614433;
186,5820;31,974897;171,7074;-10,369773;
186,8709;39,966468;171,9946;-14,534694;
187,1598;23,208524;172,2818;-15,426819;
187,4487;27,090135;172,5690;-13,024846;
187,7376;33,810724;172,8561;-17,767327;
188,0265;32,2487;173,1433;-14,700451;
188,3153;31,537856;173,4305;-11,243668;
188,6042;26,983559;173,7177;-13,741871;
188,8931;27,726542;174,0049;-16,157714;
189,1820;41,972403;174,2921;-12,529291;
189,4709;56,787088;174,5793;-1,8422823;
189,7598;121,67946;174,8665;30,697442;
190,0487;156,93089;175,1537;58,825388;
190,3376;151,51142;175,4409;61,755958;
190,6265;152,31313;175,7281;62,924318;
190,9154;153,82611;176,0153;66,370751;
191,2043;159,97337;176,3024;64,829858;
191,4932;169,33065;176,5896;64,164544;
191,7821;161,72128;176,8768;59,184326;
192,0710;160,69099;177,1640;64,366025;
192,3599;157,34669;177,4512;69,003139;
192,6488;152,47277;177,7384;62,069419;
192,9376;152,97898;178,0256;68,810435;
193,2265;160,39414;178,3128;59,110155;
193,5154;153,0311;178,6000;65,570657;
193,8043;152,54041;178,8872;64,577254;
194,0932;164,00385;179,1744;65,342634;
194,3821;160,16319;179,4615;65,313709;
194,6710;162,57243;179,7487;63,202439;
194,9599;155,29729;180,0359;61,444359;
195,2488;153,93209;180,3231;60,745822;
195,5377;155,76963;180,6103;58,897847;
195,8266;154,02745;180,8975;62,929946;
196,1155;155,48842;181,1847;65,323109;
196,4044;162,58629;181,4719;66,372683;
196,6933;158,85313;181,7591;68,765467;
196,9822;152,41816;182,0463;67,210034;
197,2711;148,85514;182,3335;63,921622;
197,5599;148,89839;182,6206;65,917152;
197,8488;154,71071;182,9078;70,016608;
198,1377;156,59359;183,1950;66,159225;
198,4266;152,64615;183,4822;65,339948;
198,7155;148,86652;183,7694;65,847459;
199,0044;144,79837;184,0566;63,131436;
199,2933;153,90576;184,3438;66,890211;
199,5822;147,91943;184,6310;71,607829;
199,8711;152,31701;184,9182;65,058655;
200,1600;147,5666;185,2054;69,392196;
200,4489;161,44846;185,4926;61,892602;
200,7378;159,25305;185,7798;68,883214;
201,0267;155,35004;186,0669;62,174862;
201,3156;149,91296;186,3541;60,494243;
201,6045;152,0573;186,6413;59,225446;
201,8934;144,96586;186,9285;69,77828;
202,1822;151,85563;187,2157;70,694124;
202,4711;154,20486;187,5029;67,919351;
202,7600;156,75461;187,7901;66,709002;
203,0489;160,89227;188,0773;66,100623;
203,3378;160,65731;188,3645;63,951031;
203,6267;162,18993;188,6517;62,603445;
203,9156;160,70688;188,9389;65,14919;
204,2045;157,38857;189,2260;64,272499;
204,4934;158,64435;189,5132;64,883487;
204,7823;164,04424;189,8004;68,335488;
205,0712;170,35559;190,0876;67,893815;
205,3601;171,07474;190,3748;63,937169;
205,6490;165,36075;190,6620;65,666503;
205,9379;163,50827;190,9492;65,286203;
206,2268;159,61971;191,2364;70,353671;
206,5157;151,93667;191,5236;63,667633;
206,8045;163,26469;191,8108;65,694444;
207,0934;168,08007;192,0980;64,092541;
207,3823;158,08676;192,3852;67,014147;
207,6712;149,76097;192,6723;64,542731;
207,9601;152,53093;192,9595;67,011086;
208,2490;149,6145;193,2467;61,462643;
208,5379;152,25202;193,5339;65,265066;
208,8268;151,47851;193,8211;67,5668;
209,1157;158,16609;194,1083;65,532595;
209,4046;144,27793;194,3955;63,262302;
209,6935;147,82073;194,6827;61,934892;
209,9824;154,91577;194,9699;62,989529;
210,2713;145,90401;195,2571;63,673515;
210,5602;145,83141;195,5443;62,109803;
210,8491;146,51152;195,8314;62,284832;
211,1380;148,1149;196,1186;62,366316;
211,4268;151,9299;196,4058;60,189302;
211,7157;150,29887;196,6930;60,199217;
212,0046;147,41233;196,9802;54,473531;
212,2935;149,16379;197,2674;56,622077;
212,5824;148,19647;197,5546;53,922259;
212,8713;142,83159;197,8418;61,393193;
213,1602;143,33958;198,1290;51,527446;
213,4491;145,54795;198,4162;62,751196;
213,7380;139,14988;198,7034;61,884419;
214,0269;141,59904;198,9906;56,509076;
214,3158;143,78859;199,2777;57,750053;
214,6047;152,26182;199,5649;56,127216;
214,8936;164,68776;199,8521;59,62187;
215,1825;151,32456;200,1393;63,253075;
215,4714;141,81301;200,4265;64,580645;
215,7603;136,70116;200,7137;59,607943;
216,0491;153,18526;201,0009;56,635239;
216,3380;164,21292;201,2881;61,541556;
216,6269;147,63487;201,5753;63,562542;
216,9158;148,75257;201,8625;60,109725;
217,2047;147,71534;202,1497;60,41869;
217,4936;143,46517;202,4368;63,356195;
217,7825;143,98398;202,7240;66,293349;
218,0714;142,20947;203,0112;68,639239;
218,3603;149,09082;203,2984;64,356133;
218,6492;143,44296;203,5856;65,206362;
218,9381;139,55888;203,8728;62,193984;
219,2270;144,63312;204,1600;63,523176;
219,5159;140,00906;204,4472;53,876861;
219,8048;137,87472;204,7344;70,094197;
220,0937;140,80039;205,0216;66,694828;
220,3826;149,9246;205,3088;59,619916;
220,6714;154,47326;205,5959;66,892016;
220,9603;140,61594;205,8831;66,47934;
221,2492;144,96879;206,1703;61,741413;
221,5381;147,22811;206,4575;62,839276;
221,8270;138,9987;206,7447;65,72113;
222,1159;141,7539;207,0319;62,90772;
222,4048;137,3837;207,3191;66,617696;
222,6937;144,41259;207,6063;70,676274;
222,9826;134,42844;207,8935;69,696154;
223,2715;139,76051;208,1807;69,961816;
223,5604;144,43727;208,4679;69,66555;
223,8493;146,20737;208,7551;66,990568;
224,1382;143,73295;209,0422;66,069845;
224,4271;143,73108;209,3294;66,505697;
224,7160;152,19827;209,6166;71,791134;
225,0049;147,19267;209,9038;76,073724;
225,2937;146,65926;210,1910;67,533572;
225,5826;145,52908;210,4782;69,260028;
225,8715;143,03828;210,7654;71,543224;
226,1604;139,51799;211,0526;70,414459;
226,4493;142,27026;211,3398;76,559605;
226,7382;146,1875;211,6270;64,51973;
227,0271;145,45882;211,9142;75,770934;
227,3160;153,28685;212,2013;73,098301;
227,6049;149,8228;212,4885;73,337752;
227,8938;149,1304;212,7757;76,311471;
228,1827;157,43553;213,0629;76,913843;
228,4716;140,09325;213,3501;75,948884;
228,7605;147,64441;213,6373;74,110307;
229,0494;135,00021;213,9245;74,322926;
229,3383;140,6899;214,2117;79,24478;
229,6272;146,91829;214,4989;77,762292;
229,9160;156,05424;214,7861;72,258483;
230,2049;147,28928;215,0733;72,280031;
230,4938;152,35795;215,3605;77,538809;
230,7827;146,81941;215,6476;81,795046;
231,0716;148,40885;215,9348;80,166419;
231,3605;156,43261;216,2220;76,433841;
231,6494;150,36287;216,5092;74,329577;
231,9383;140,48762;216,7964;76,854735;
232,2272;148,11474;217,0836;80,328838;
232,5161;147,56908;217,3708;78,369172;
